Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     23.26     0.00        2     0.00     0.00  ff_h263_decode_init
  0.00     23.26     0.00        2     0.00     0.00  h263_decode_init_vlc
  0.00     23.26     0.00        2     0.00     0.00  url_fsize
  0.00     23.26     0.00        1     0.00     0.00  MPV_common_init
  0.00     23.26     0.00        1     0.00     0.00  MPV_common_init_arm
  0.00     23.26     0.00        1     0.00     0.00  MPV_common_init_armv5te
  0.00     23.26     0.00        1     0.00     0.00  ac3_probe
  0.00     23.26     0.00        1     0.00     0.00  adts_aac_probe
  0.00     23.26     0.00        1     0.00     0.00  aea_read_probe
  0.00     23.26     0.00        1     0.00     0.00  aiff_probe
  0.00     23.26     0.00        1     0.00     0.00  amr_probe
  0.00     23.26     0.00        1     0.00     0.00  apc_probe
  0.00     23.26     0.00        1     0.00     0.00  ape_probe
  0.00     23.26     0.00        1     0.00     0.00  asf_probe
  0.00     23.26     0.00        1     0.00     0.00  au_probe
  0.00     23.26     0.00        1     0.00     0.00  av_close_input_stream
  0.00     23.26     0.00        1     0.00     0.00  av_div_q
  0.00     23.26     0.00        1     0.00     0.00  av_metadata_get
  0.00     23.26     0.00        1     0.00     0.00  av_metadata_set2
  0.00     23.26     0.00        1     0.00     0.00  av_mul_q
  0.00     23.26     0.00        1     0.00     0.36  av_open_input_stream
  0.00     23.26     0.00        1     0.00     0.00  av_opt_set_defaults
  0.00     23.26     0.00        1     0.00     0.00  av_strdup
  0.00     23.26     0.00        1     0.00     0.00  av_strlcpy
  0.00     23.26     0.00        1     0.00     0.00  av_strstart
  0.00     23.26     0.00        1     0.00     1.56  avcodec_decode_audio3
  0.00     23.26     0.00        1     0.00     0.00  avformat_alloc_context
  0.00     23.26     0.00        1     0.00     0.00  avi_probe
  0.00     23.26     0.00        1     0.00     0.00  avi_read_close
  0.00     23.26     0.00        1     0.00     0.36  avi_read_header
  0.00     23.26     0.00        1     0.00     0.00  avi_read_tag
  0.00     23.26     0.00        1     0.00     0.00  avs_probe
  0.00     23.26     0.00        1     0.00     0.00  bfi_probe
  0.00     23.26     0.00        1     0.00     0.00  cavsvideo_probe
  0.00     23.26     0.00        1     0.00     0.00  cdata_probe
  0.00     23.26     0.00        1     0.00     0.00  cin_probe
  0.00     23.26     0.00        1     0.00     0.00  dirac_probe
  0.00     23.26     0.00        1     0.00     0.00  dnxhd_probe
  0.00     23.26     0.00        1     0.00     0.00  dsputil_init
  0.00     23.26     0.00        1     0.00     0.00  dsputil_init_arm
  0.00     23.26     0.00        1     0.00     0.00  dts_probe
  0.00     23.26     0.00        1     0.00     0.00  dv_probe
  0.00     23.26     0.00        1     0.00     0.00  dxa_probe
  0.00     23.26     0.00        1     0.00     0.00  ea_probe
  0.00     23.26     0.00        1     0.00     0.00  eac3_probe
  0.00     23.26     0.00        1     0.00     0.00  ff_cavsdsp_init
  0.00     23.26     0.00        1     0.00     0.00  ff_check_alignment
  0.00     23.26     0.00        1     0.00     0.00  ff_dct_common_init
  0.00     23.26     0.00        1     0.00     0.00  ff_dsputil_init_armv5te
  0.00     23.26     0.00        1     0.00     0.00  ff_dsputil_init_dwt
  0.00     23.26     0.00        1     0.00     0.00  ff_get_wav_header
  0.00     23.26     0.00        1     0.00     0.00  ff_intrax8dsp_init
  0.00     23.26     0.00        1     0.00     0.00  ff_metadata_demux_compat
  0.00     23.26     0.00        1     0.00     0.00  ff_mlp_init
  0.00     23.26     0.00        1     0.00     0.00  ff_mpa_synth_init
  0.00     23.26     0.00        1     0.00     0.00  ff_mpeg4video_split
  0.00     23.26     0.00        1     0.00     0.00  ff_mpeg_flush
  0.00     23.26     0.00        1     0.00     0.00  ff_parse1_close
  0.00     23.26     0.00        1     0.00     0.00  ff_parse_close
  0.00     23.26     0.00        1     0.00     0.02  ff_probe_input_buffer
  0.00     23.26     0.00        1     0.00     0.00  ff_rv30dsp_init
  0.00     23.26     0.00        1     0.00     0.00  ff_rv40dsp_init
  0.00     23.26     0.00        1     0.00     0.00  ff_vc1dsp_init
  0.00     23.26     0.00        1     0.00     0.00  ff_wav_codec_get_id
  0.00     23.26     0.00        1     0.00     0.00  ffm_probe
  0.00     23.26     0.00        1     0.00     0.00  file_close
  0.00     23.26     0.00        1     0.00     0.00  file_open
  0.00     23.26     0.00        1     0.00     0.01  fill_all_stream_timings
  0.00     23.26     0.00        1     0.00     0.00  film_probe
  0.00     23.26     0.00        1     0.00     0.00  flac_probe
  0.00     23.26     0.00        1     0.00     0.00  flic_probe
  0.00     23.26     0.00        1     0.00     0.00  flush
  0.00     23.26     0.00        1     0.00     0.00  flush_packet_queue
  0.00     23.26     0.00        1     0.00     0.00  flv_probe
  0.00     23.26     0.00        1     0.00     0.00  fourxm_probe
  0.00     23.26     0.00        1     0.00     0.00  guidcmp
  0.00     23.26     0.00        1     0.00     0.00  gxf_probe
  0.00     23.26     0.00        1     0.00     0.00  h261_probe
  0.00     23.26     0.00        1     0.00     0.00  h263_probe
  0.00     23.26     0.00        1     0.00     0.00  h264_probe
  0.00     23.26     0.00        1     0.00     0.00  idcin_probe
  0.00     23.26     0.00        1     0.00     0.00  iff_probe
  0.00     23.26     0.00        1     0.00     0.00  image_probe
  0.00     23.26     0.00        1     0.00     0.00  img_read_packet
  0.00     23.26     0.00        1     0.00     0.00  init_put_byte
  0.00     23.26     0.00        1     0.00     0.00  ipmovie_probe
  0.00     23.26     0.00        1     0.00     0.00  iss_probe
  0.00     23.26     0.00        1     0.00     0.00  lmlm4_probe
  0.00     23.26     0.00        1     0.00     0.00  matroska_probe
  0.00     23.26     0.00        1     0.00     0.00  mmf_probe
  0.00     23.26     0.00        1     0.00     0.00  mov_probe
  0.00     23.26     0.00        1     0.00     0.00  mp3_read_probe
  0.00     23.26     0.00        1     0.00     0.00  mpc8_probe
  0.00     23.26     0.00        1     0.00     0.00  mpc_probe
  0.00     23.26     0.00        1     0.00     0.00  mpeg4video_parse_init
  0.00     23.26     0.00        1     0.00     0.00  mpeg4video_probe
  0.00     23.26     0.00        1     0.00     0.00  mpegps_probe
  0.00     23.26     0.00        1     0.00     0.00  mpegts_probe
  0.00     23.26     0.00        1     0.00     0.00  mpegvideo_probe
  0.00     23.26     0.00        1     0.00     0.00  msnwc_tcp_probe
  0.00     23.26     0.00        1     0.00     0.00  mtv_probe
  0.00     23.26     0.00        1     0.00     0.00  mxf_probe
  0.00     23.26     0.00        1     0.00     0.00  nc_probe
  0.00     23.26     0.00        1     0.00     0.00  nsv_probe
  0.00     23.26     0.00        1     0.00     0.00  nut_probe
  0.00     23.26     0.00        1     0.00     0.00  nuv_probe
  0.00     23.26     0.00        1     0.00     0.00  ogg_probe
  0.00     23.26     0.00        1     0.00     0.00  oma_read_probe
  0.00     23.26     0.00        1     0.00     0.00  probe
  0.00     23.26     0.00        1     0.00     0.00  probe
  0.00     23.26     0.00        1     0.00     0.00  probe
  0.00     23.26     0.00        1     0.00     0.00  probe
  0.00     23.26     0.00        1     0.00     0.00  probe
  0.00     23.26     0.00        1     0.00     0.00  probe
