Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    100.12     0.00        1     0.00     0.00  cavsvideo_probe
  0.00    100.12     0.00        1     0.00     0.00  cdata_probe
  0.00    100.12     0.00        1     0.00     0.00  cin_probe
  0.00    100.12     0.00        1     0.00     0.00  dirac_probe
  0.00    100.12     0.00        1     0.00     0.00  dnxhd_probe
  0.00    100.12     0.00        1     0.00     0.00  dsputil_init_arm
  0.00    100.12     0.00        1     0.00     0.00  dts_probe
  0.00    100.12     0.00        1     0.00     0.00  dv_probe
  0.00    100.12     0.00        1     0.00     0.00  dxa_probe
  0.00    100.12     0.00        1     0.00     0.00  ea_probe
  0.00    100.12     0.00        1     0.00     0.00  eac3_probe
  0.00    100.12     0.00        1     0.00     0.00  ff_cavsdsp_init
  0.00    100.12     0.00        1     0.00     0.00  ff_check_alignment
  0.00    100.12     0.00        1     0.00     0.00  ff_dct_common_init
  0.00    100.12     0.00        1     0.00     0.00  ff_dsputil_init_armv5te
  0.00    100.12     0.00        1     0.00     0.00  ff_dsputil_init_dwt
  0.00    100.12     0.00        1     0.00     0.00  ff_get_unscaled_swscale
  0.00    100.12     0.00        1     0.00     0.00  ff_get_wav_header
  0.00    100.12     0.00        1     0.00     0.00  ff_intrax8dsp_init
  0.00    100.12     0.00        1     0.00     0.00  ff_metadata_demux_compat
  0.00    100.12     0.00        1     0.00     0.00  ff_mlp_init
  0.00    100.12     0.00        1     0.00     0.00  ff_mpa_synth_init
  0.00    100.12     0.00        1     0.00     0.00  ff_mpeg4video_split
  0.00    100.12     0.00        1     0.00     0.00  ff_mpeg_flush
  0.00    100.12     0.00        1     0.00     0.00  ff_parse1_close
  0.00    100.12     0.00        1     0.00     0.00  ff_parse_close
  0.00    100.12     0.00        1     0.00     0.02  ff_probe_input_buffer
  0.00    100.12     0.00        1     0.00     0.00  ff_rewind_with_probe_data
  0.00    100.12     0.00        1     0.00     0.00  ff_rv30dsp_init
  0.00    100.12     0.00        1     0.00     0.00  ff_rv40dsp_init
  0.00    100.12     0.00        1     0.00     0.00  ff_vc1dsp_init
  0.00    100.12     0.00        1     0.00     0.00  ff_wav_codec_get_id
  0.00    100.12     0.00        1     0.00     0.00  ff_yuv2rgb_c_init_tables
  0.00    100.12     0.00        1     0.00     0.00  ff_yuv2rgb_get_func_ptr
  0.00    100.12     0.00        1     0.00     0.00  ffm_probe
  0.00    100.12     0.00        1     0.00     0.00  file_close
  0.00    100.12     0.00        1     0.00     0.00  file_open
  0.00    100.12     0.00        1     0.00     0.00  fill_all_stream_timings
  0.00    100.12     0.00        1     0.00     0.00  film_probe
  0.00    100.12     0.00        1     0.00     0.00  flac_probe
  0.00    100.12     0.00        1     0.00     0.00  flic_probe
  0.00    100.12     0.00        1     0.00     0.00  flush
  0.00    100.12     0.00        1     0.00     0.00  flush_packet_queue
  0.00    100.12     0.00        1     0.00     0.00  flv_probe
  0.00    100.12     0.00        1     0.00     0.00  fourxm_probe
  0.00    100.12     0.00        1     0.00     0.00  guidcmp
  0.00    100.12     0.00        1     0.00     0.00  gxf_probe
  0.00    100.12     0.00        1     0.00     0.00  h261_probe
  0.00    100.12     0.00        1     0.00     0.00  h263_probe
  0.00    100.12     0.00        1     0.00     0.00  h264_probe
  0.00    100.12     0.00        1     0.00     0.00  idcin_probe
  0.00    100.12     0.00        1     0.00     0.00  iff_probe
  0.00    100.12     0.00        1     0.00     0.00  image_probe
  0.00    100.12     0.00        1     0.00     0.00  img_read_packet
  0.00    100.12     0.00        1     0.00     0.00  init_put_byte
  0.00    100.12     0.00        1     0.00     0.00  ipmovie_probe
  0.00    100.12     0.00        1     0.00     0.00  iss_probe
  0.00    100.12     0.00        1     0.00     0.00  lmlm4_probe
  0.00    100.12     0.00        1     0.00     0.00  matroska_probe
  0.00    100.12     0.00        1     0.00     0.00  mmf_probe
  0.00    100.12     0.00        1     0.00     0.00  mov_probe
  0.00    100.12     0.00        1     0.00     0.00  mp3_read_probe
  0.00    100.12     0.00        1     0.00     0.00  mpc8_probe
  0.00    100.12     0.00        1     0.00     0.00  mpc_probe
  0.00    100.12     0.00        1     0.00     0.00  mpeg4video_parse_init
  0.00    100.12     0.00        1     0.00     0.00  mpeg4video_probe
  0.00    100.12     0.00        1     0.00     0.00  mpegps_probe
  0.00    100.12     0.00        1     0.00     0.00  mpegts_probe
  0.00    100.12     0.00        1     0.00     0.00  mpegvideo_probe
  0.00    100.12     0.00        1     0.00     0.00  msnwc_tcp_probe
  0.00    100.12     0.00        1     0.00     0.00  mtv_probe
  0.00    100.12     0.00        1     0.00     0.00  mxf_probe
  0.00    100.12     0.00        1     0.00     0.00  nc_probe
  0.00    100.12     0.00        1     0.00     0.00  nsv_probe
  0.00    100.12     0.00        1     0.00     0.00  nut_probe
  0.00    100.12     0.00        1     0.00     0.00  nuv_probe
  0.00    100.12     0.00        1     0.00     0.00  ogg_probe
  0.00    100.12     0.00        1     0.00     0.00  oma_read_probe
  0.00    100.12     0.00        1     0.00     0.00  probe
  0.00    100.12     0.00        1     0.00     0.00  probe
  0.00    100.12     0.00        1     0.00     0.00  probe
  0.00    100.12     0.00        1     0.00     0.00  probe
  0.00    100.12     0.00        1     0.00     0.00  probe
  0.00    100.12     0.00        1     0.00     0.00  probe
  0.00    100.12     0.00        1     0.00     0.00  probe
  0.00    100.12     0.00        1     0.00     0.00  pva_probe
  0.00    100.12     0.00        1     0.00     0.00  qcp_probe
  0.00    100.12     0.00        1     0.00     0.00  r3d_probe
  0.00    100.12     0.00        1     0.00     0.00  rl2_probe
  0.00    100.12     0.00        1     0.00     0.00  rm_probe
  0.00    100.12     0.00        1     0.00     0.00  roq_probe
  0.00    100.12     0.00        1     0.00     0.00  rpl_probe
  0.00    100.12     0.00        1     0.00     0.00  seq_probe
  0.00    100.12     0.00        1     0.00     0.00  siff_probe
  0.00    100.12     0.00        1     0.00     0.00  smacker_probe
  0.00    100.12     0.00        1     0.00     0.00  sol_probe
  0.00    100.12     0.00        1     0.00     0.00  sox_probe
  0.00    100.12     0.00        1     0.00     0.00  str_probe
  0.00    100.12     0.00        1     0.00     0.00  swf_probe
  0.00    100.12     0.00        1     0.00     0.01  sws_alloc_context
  0.00    100.12     0.00        1     0.00     0.00  sws_context_to_name
  0.00    100.12     0.00        1     0.00     0.00  sws_init_context
  0.00    100.12     0.00        1     0.00     0.00  sws_rgb2rgb_init
  0.00    100.12     0.00        1     0.00     0.00  sws_setColorspaceDetails
  0.00    100.12     0.00        1     0.00     0.00  thp_probe
  0.00    100.12     0.00        1     0.00     0.00  tmv_probe
  0.00    100.12     0.00        1     0.00     0.00  tta_probe
  0.00    100.12     0.00        1     0.00     0.00  txd_probe
